Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Выход из закалки поддона № 64226]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937664;2012-07-02T6:28:54.000+0300;282
Добавление документа;[Выход из закалки поддона № 64227]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937665;2012-07-02T6:28:57.000+0300;282
Добавление документа;[Выход из закалки поддона № 64228]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937666;2012-07-02T6:28:59.000+0300;282
Добавление документа;[Выход из закалки поддона № 64229]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937667;2012-07-02T6:29:01.000+0300;282
Добавление документа;[Выход из закалки поддона № 64230]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937668;2012-07-02T6:29:04.000+0300;282
Добавление документа;[Выход из закалки поддона № 64231]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937669;2012-07-02T6:29:06.000+0300;282
Добавление документа;[Выход из закалки поддона № 64232]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937670;2012-07-02T6:29:09.000+0300;282
Добавление документа;[Выход из закалки поддона № 64233]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937671;2012-07-02T6:29:11.000+0300;282
Добавление документа;[Выход из закалки поддона № 64234]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937672;2012-07-02T6:29:13.000+0300;282
Добавление документа;[Выход из закалки поддона № 64235]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937673;2012-07-02T6:29:16.000+0300;282
Добавление документа;[Выход из закалки поддона № 64236]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937674;2012-07-02T6:29:18.000+0300;282
Добавление документа;[Выход из закалки поддона № 64237]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937675;2012-07-02T6:29:20.000+0300;282
Добавление документа;[Выход из закалки поддона № 64238]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937676;2012-07-02T6:29:23.000+0300;282
Добавление документа;[Выход из закалки поддона № 64239]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937677;2012-07-02T6:29:25.000+0300;282
Добавление документа;[Выход из закалки поддона № 64240]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937678;2012-07-02T6:29:28.000+0300;282
Добавление документа;[Выход из закалки поддона № 64241]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937679;2012-07-02T6:29:30.000+0300;282
Добавление документа;[Выход из закалки поддона № 64242]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937680;2012-07-02T6:29:33.000+0300;282
